RK,ID,NAME,ADP,New Rank
1,10000600,Mike Trout,1,1
2,10000485,Jose Altuve,2,2
3,10000393,Nolan Arenado,3,3
4,10002094,Trea Turner,4,4
5,10000031,Paul Goldschmidt,5,5
6,10001365,Bryce Harper,6,6
7,10000176,Mookie Betts,7,7
8,10000405,Charlie Blackmon,8,8
9,10000690,Giancarlo Stanton,10,9
10,10002076,Kris Bryant,11,10
11,10001918,Carlos Correa,13,11
12,10000312,Joey Votto,14,12
13,10000077,Freddie Freeman,17,13
14,10000129,Manny Machado,18,14
15,10000217,Anthony Rizzo,19,15
16,10002087,Aaron Judge,20,16
17,10001911,Francisco Lindor,21,17
18,10000352,Jose Ramirez,22,18
19,10000499,George Springer,23,19
20,10003122,Cody Bellinger,24,20
23,10000453,J.D. Martinez,28,21
24,10000769,Brian Dozier,30,22
25,10000258,Jose Abreu,31,23
27,10000681,Dee Gordon,34,24
28,10001094,Nelson Cruz,37,25
29,10001009,Starling Marte,38,26
30,10001314,Edwin Encarnacion,39,27
31,10005530,Andrew Benintendi,40,28
32,10006662,Justin Upton,41,29
33,10005589,Alex Bregman,42,30
34,10001361,Anthony Rendon,45,31
35,10000691,Christian Yelich,46,32
36,10006124,Rhys Hoskins,47,33
37,10000689,Marcell Ozuna,48,34
39,10001185,Tommy Pham,53,35
40,10000734,Khris Davis,54,36
41,10001264,Elvis Andrus,55,37
43,10000041,A.J. Pollock,58,38
45,10000640,Justin Turner,61,39
47,10000133,Jonathan Schoop,65,40
49,10000530,Eric Hosmer,67,41
50,10000165,Xander Bogaerts,68,42
51,10001010,Andrew McCutchen,69,43
52,10005307,Willson Contreras,71,44
53,10000539,Lorenzo Cain,72,45
54,10000731,Jean Segura,73,46
56,10001123,Buster Posey,77,47
57,10000317,Billy Hamilton,80,48
58,10000733,Ryan Braun,81,49
59,10002013,Whit Merrifield,83,50
60,10001270,Rougned Odor,86,51
61,10005751,Rafael Devers,87,52
62,10003298,Travis Shaw,88,53
63,10000397,DJ LeMahieu,91,54
64,10001266,Adrian Beltre,92,55
66,10001090,Kyle Seager,94,56
68,10001961,Matt Olson,98,57
69,10000647,Yasiel Puig,99,58
70,10000038,Ender Inciarte,102,59
71,10001896,Trevor Story,103,60
72,10000137,Adam Jones,104,61
73,10001320,Justin Smoak,106,62
74,10001357,Ian Desmond,111,63
75,10001966,Joey Gallo,115,64
78,10000534,Mike Moustakas,119,65
79,10001091,Chris Taylor,120,66
80,10000353,Carlos Santana,121,67
82,10001170,Matt Carpenter,127,68
83,10000859,Didi Gregorius,128,69
84,10000780,Eddie Rosario,129,70
85,10001011,Gregory Polanco,131,71
86,10005363,Nomar Mazara,133,72
87,10000442,Ian Kinsler,134,73
88,10000213,Javier Baez,135,74
90,10006046,Ian Happ,138,75
91,10000525,Salvador Perez,139,76
92,10005445,Ozzie Albies,143,77
94,10005299,Josh Bell,145,78
95,10000675,J.T. Realmuto,146,79
96,10000870,Brett Gardner,149,80
98,10002093,Kyle Schwarber,151,81
99,10006462,Yoan Moncada,153,82
100,10005384,Manuel Margot,154,83
101,10001222,Evan Longoria,155,84
103,10001133,Adam Duvall,157,85
104,10002005,Odubel Herrera,158,86
105,10000311,Eugenio Suarez,160,87
106,10000487,Marwin Gonzalez,161,88
107,10000678,Justin Bour,163,89
108,10000073,Evan Gattis,165,90
109,10005235,Michael Conforto,168,91
110,10005741,Paul DeJong,169,92
111,10006354,Trey Mancini,171,93
112,10000772,Eduardo Nunez,176,94
113,10000125,Chris Davis,177,95
116,10001166,Yadier Molina,186,96
118,10001279,Shin-Soo Choo,191,97
119,10001356,Wilson Ramos,192,98
121,10000492,Jonathan Villar,195,99
122,10000723,Scooter Gennett,198,100
123,10006044,Mitch Haniger,199,101
125,10000350,Jason Kipnis,202,102
126,10000084,Andrelton Simmons,204,103
127,10000953,Maikel Franco,205,104
128,10000357,Michael Brantley,207,105
129,10000406,Corey Dickerson,209,106
131,10000040,David Peralta,212,107
132,10000918,Josh Reddick,213,108
134,10002054,Tim Anderson,216,109
135,10001083,Mike Zunino,219,110
136,10000908,Marcus Semien,220,111
137,10000955,Cesar Hernandez,221,112
138,10000305,Todd Frazier,222,113
141,10001971,Stephen Piscotty,228,114
143,10000407,Carlos Gonzalez,231,115
146,10000081,Jose Peraza,235,116
148,10001038,Yonder Alonso,237,117
149,10001129,Brandon Belt,241,118
150,10001954,Addison Russell,242,119
151,10000777,Aaron Hicks,243,120
152,10000214,Starlin Castro,245,121
153,10000533,Kendrys Morales,246,122
155,10006056,Ryon Healy,248,123
156,10000593,Kole Calhoun,249,124
157,10001213,Tim Beckham,251,125
158,10000779,Max Kepler,252,126
162,10001181,Randal Grichuk,262,127
163,10001050,Matt Kemp,267,128
164,10005306,Jose Martinez,268,129
165,10000633,Yasmani Grandal,269,130
166,10000590,Albert Pujols,273,131
169,10005661,Matt Chapman,277,132
170,10006695,Amed Rosario,279,133
171,10005597,Lewis Brinson,281,134
172,10001043,Jedd Gyorko,282,135
173,10001261,Robinson Chirinos,283,136
174,10006927,Nick Williams,287,137
175,10000601,C.J. Cron,288,138
176,10005406,Gleyber Torres,290,139
177,10003193,Scott Schebler,294,140
179,10002074,Hunter Renfroe,296,141
180,10000735,Carlos Gomez,299,142
186,10001087,Ketel Marte,315,143
191,10001964,Mallex Smith,321,144
193,10001130,Brandon Crawford,323,145
195,10006826,Dansby Swanson,326,146
196,10000646,Joc Pederson,327,147
198,10001216,Asdrubal Cabrera,330,148
200,10000771,Joe Mauer,335,149
204,10005308,Jeimer Candelario,344,150
205,10000437,James McCann,345,151
207,10001218,Logan Forsythe,348,152
210,10001282,Mitch Moreland,353,153
211,10001047,Yangervis Solarte,355,154
213,10001325,Kevin Pillar,358,155
216,10000911,Ben Zobrist,369,156
217,10000260,Matt Davidson,371,157
218,10002075,Colin Moran,372,158
221,10000455,Victor Martinez,378,159
222,10001368,Denard Span,379,160
226,10006072,Teoscar Hernandez,385,161
229,10000813,Wilmer Flores,392,162
231,10001182,Jason Heyward,394,163
236,10001179,Kolten Wong,410,164
237,10000737,Gerardo Parra,413,165
238,10000954,Freddy Galvis,415,166
239,10006208,Scott Kingery,416,167
240,10000089,Nick Markakis,421,168
241,10000826,Curtis Granderson,432,169
247,10000489,Jed Lowrie,442,170
257,10000862,Jose Pirela,476,171
259,10003328,Aledmys Diaz,479,172
260,10000440,Jose Iglesias,481,173
265,10005476,Miguel Andujar,497,174
270,10000301,Tucker Barnhart,510,175
